source,reference,fine_tuned,original
Şeýle hem sanly ulgamy giňden ulanmak we prokuratura edaralarynyň işgärleriniň hünär derejelerini ýokarlandyrmak maksady bilen görülýän çäreler barada aýdyldy.,A report was also made on the practical steps taken to widely use the digital system and improve the professionalism of the employees of the prosecutor’s office.,A report was also made on the measures being taken to increase the use of digital technologies and the professional qualifications of employees of the prosecutors departments.,It also discussed measures aimed at promoting the widespread use of digital technologies and raising the professional standards of prosecutors' offices.
"“Türkmenhaly” döwlet birleşigi boýunça haly önümlerini öndürmegiň meýilnamasy 102,3 göterim ýerine ýetirildi.",The plan for the production of carpet items by the Türkmenhaly State Association was fulfilled at the level of 102.3 per cent.,"At the same time, the plan for the production of carpet products in the Turkmenhaly State Complex was fulfilled by 102.3 per cent.",The plan for the production of carpet products under the national union of Turkmen people was implemented at 102.3 percent.
"Biz wodorod energetikasy, energiýanyň gaýtadan dikeldilýän çeşmelerini peýdalanmak boýunça hem ýewropaly hyzmatdaşlar bilen işleşmäge taýýardyrys.",We are also ready to work with European partners in the field of hydrogen energy and the use of renewable energy sources.,We are ready to work with European partners on hydrocarbon energy and the use of renewable energy sources.,"We are willing to work with our European partners in the field of hydrogen energy, renewable energy and renewable energy."
"Mälim bolşy ýaly, iki ýurduň arasynda diplomatik gatnaşyklar 1992-nji ýylda ýola goýuldy.","As is known, diplomatic relations between the two countries were established in 1992.","As is known, diplomatic relations between the two countries were established in 1992.",Diplomatic relations between the two countries were established in 1992.
Men ýene-de bir anyk mysaly getireýin: Türkmenistandaky «Galkynyş» käni gazyň möçberi boýunça dünýäde birinji orunda durýar.,I will give another specific example: the Galkynyş field ranks first in the world in terms of gas resources.,Let me give another concrete example: Turkmenistan ranks first in the world in gas volume.,Let me give you another clear example: Turkmenistan's Galkinish mine ranks first in the world in terms of gas volume.
"Hormatly Prezidentimiz mejlise gatnaşyjylara ýüzlenip, “Türkmenistanyň Prezidentiniň ýurdumyzy 2022 — 2028-nji ýyllarda durmuş-ykdysady taýdan ösdürmegiň Maksatnamasyny” üstünlikli durmuşa geçirmek maksady bilen, 2025-nji ýylda ýurdumyzy durmuş-ykdysady taýdan ösdürmegiň we maýa goýum Maksatnamasynyň taslamasynyň işlenip taýýarlanylandygyny belledi.","Addressing the participants of the sitting, the head of state said that in order to successfully implement the Programme of the President of Turkmenistan of the Socioeconomic Development of the Country in 2022–2028, a draft Programme of the Socioeconomic Development of the Country and Investments in 2025 had been developed.","Addressing the participants of the meeting, President Serdar Berdimuhamedov noted in 2025, in order to successfully implement the Programme of the President of Turkmenistan of the Socioeconomic Development of the Country in 20222028, a draft Programme of Socioeconomic Development and Investment had been developed.","In an address to the assembly, the President of Turkmenistan noted that the President of Turkmenistan's Sustainable Development Goals for 2022  2028 were developed and prepared in 2025 with a view to successfully implementing the Sustainable Development Goals for 2025."
"Bu işler bilen bir hatarda, gowaçanyň we azyklyk ekinleriniň ýazky ekişine taýýarlyk görülýär.","Along with this, preparations are underway for the spring sowing of cotton and food crops.","Along with this, preparations are underway for the spring sowing of cotton and food crops.","In addition, they are preparing for the springtime sowing of cattle and food crops."
"Şunuň bilen birlikde, döwletara dialogyň aýrylmaz bölegi hökmünde çykyş edýän parlamentara gatnaşyklar hem pugtalandyrylýar.","Interparliamentary contacts, which are an integral part of the interstate dialogue, are also strengthening.","At the same time, interparliamentary relations, which are an integral part of the interstate dialogue, are strengthened.","In addition, parliamentary relations, which are an integral part of the intergovernmental dialogue, are also undermined."
"Hormatly Prezidentimiz Serdar Berdimuhamedow hasabaty diňläp, Türkmenistanyň Birleşen Milletler Guramasy bilen yzygiderli we ýakyndan hyzmatdaşlyk edýändigini nygtady.","After hearing the report, President Serdar Berdimuhamedov stressed Turkmenistan consistently and closely cooperated with the United Nations.","After hearing the report, President Serdar Berdimuhamedov noted that Turkmenistan was in regular and close cooperation with the United Nations.","During the hearing of the report, the Hon'ble President Serdar Berdimuhamedov stressed the regular and close cooperation of Turkmenistan with the United Nations."
"2025-nji ýylyň 1-nji ýanwary ýagdaýyna görä, Türkmenistanyň Prezidentiniň degişli Kararlaryna laýyklykda, Aşgabat we Arkadag şäherlerinde, welaýatlarda raýatlara gozgalmaýan emlägi satyn almak üçin berlen karzlaryň möçberi 16,2 göterim artdy.","As of January 1, 2025, the volume of mortgage loans issued in accordance with the Resolution of the President of Turkmenistan to citizens for the purchase of real estate in the cities of Ashgabat and Arkadag and in the velayats, increased by 16.2 per cent.","As of January 1, 2025, in accordance with the relevant Decrees of the President of Turkmenistan, the volume of loans issued to citizens for the purchase of fixed assets in the cities of Ashgabat and Arkadag and the velayats increased by 16.2 per cent.","As of January 1, 2025, in accordance with the relevant Decrees of the President of Turkmenistan, in Ashgabat and Arkadag, the amount of loans granted to citizens for the purchase of non-refundable property increased by 16.2 percent."
Baş Kanunymyzyñ kabul edilen gününiñ türkmeniñ beýik akyldary Magtymguly Pyragynyñ şygryýet güni bilen bir günde baýram edilmeginiñ çuññur ruhy hem taryhy manysy bar.,It is symbolic that we celebrate the day of adopting the Main Law with the holiday of Magtymguly Pyragy.,The solemn spirit of the Day adopted by the Supreme Law of Turkmenistan having been celebrated on the same day as the Day of Poetry of the great Turkmen thinker Magtymguly Pyragy has historical significance.,The fact that the Day of Acceptance of our General Law is celebrated on the same day as the Day of Poetry of the great Turkmen sage Maghtouli Pyragy has both spiritual and historical significance.
"Hasabat döwründe teatrlaryň, sirkleriň, kinoteatrlaryň, kinokonsert merkezleriniň, kitaphanalaryň, muzeýleriň, Türkmen döwlet neşirýat gullugynyň, Oguz han adyndaky «Türkmenfilm» birleşiginiň, Döwlet habarlar agentliginiňýerine ýetiren işleri barada-da habar berildi.","It was also reported on the work carried out during the reporting period by theatres, circuses, cinemas, cinema and concert centres, libraries, museums, the Turkmen State Publishing Service, Oguzhan Turkmenfilm Association and the State News Agency.","During the reporting period, reports were also made on the work of theatres, circuses, cinemas, concert centres, libraries, museums, the Turkmen State Publishing Service, the Oguzhan name Turkmenfilm Association and the State Communications Agency.","During the reporting period, the activities of theaters, circuses, cinemas, concert centers, libraries, museums, the Turkmen State Publishing Service, the Türkmenfilm association under the name of Oguz Khan, the State News Agency were also reported."
