source,reference,fine_tuned,original
Şeýle hem sanly ulgamy giňden ulanmak we prokuratura edaralarynyň işgärleriniň hünär derejelerini ýokarlandyrmak maksady bilen görülýän çäreler barada aýdyldy.,A report was also made on the practical steps taken to widely use the digital system and improve the professionalism of the employees of the prosecutor’s office.,It also discussed measures aimed at promoting the widespread use of digital technologies and raising the professional standards of prosecutors' offices.,It also discussed measures aimed at promoting the widespread use of digital technologies and raising the professional standards of prosecutors' offices.
"“Türkmenhaly” döwlet birleşigi boýunça haly önümlerini öndürmegiň meýilnamasy 102,3 göterim ýerine ýetirildi.",The plan for the production of carpet items by the Türkmenhaly State Association was fulfilled at the level of 102.3 per cent.,The plan for the production of carpet products under the national union of Turkmen people was implemented at 102.3 percent.,The plan for the production of carpet products under the national union of Turkmen people was implemented at 102.3 percent.
"Biz wodorod energetikasy, energiýanyň gaýtadan dikeldilýän çeşmelerini peýdalanmak boýunça hem ýewropaly hyzmatdaşlar bilen işleşmäge taýýardyrys.",We are also ready to work with European partners in the field of hydrogen energy and the use of renewable energy sources.,"We are ready to work with our European partners in the field of hydrogen energy, renewable energy, as well as in the field of renewable energy.","We are willing to work with our European partners in the field of hydrogen energy, renewable energy and renewable energy."
"Mälim bolşy ýaly, iki ýurduň arasynda diplomatik gatnaşyklar 1992-nji ýylda ýola goýuldy.","As is known, diplomatic relations between the two countries were established in 1992.",Diplomatic relations between the two countries were established in 1992.,Diplomatic relations between the two countries were established in 1992.
Men ýene-de bir anyk mysaly getireýin: Türkmenistandaky «Galkynyş» käni gazyň möçberi boýunça dünýäde birinji orunda durýar.,I will give another specific example: the Galkynyş field ranks first in the world in terms of gas resources.,Let me give you another clear example: the Galkynysh mine in Turkmenistan ranks first in the world in terms of gas volume.,Let me give you another clear example: Turkmenistan's Galkinish mine ranks first in the world in terms of gas volume.
"Hormatly Prezidentimiz mejlise gatnaşyjylara ýüzlenip, “Türkmenistanyň Prezidentiniň ýurdumyzy 2022 — 2028-nji ýyllarda durmuş-ykdysady taýdan ösdürmegiň Maksatnamasyny” üstünlikli durmuşa geçirmek maksady bilen, 2025-nji ýylda ýurdumyzy durmuş-ykdysady taýdan ösdürmegiň we maýa goýum Maksatnamasynyň taslamasynyň işlenip taýýarlanylandygyny belledi.","Addressing the participants of the sitting, the head of state said that in order to successfully implement the Programme of the President of Turkmenistan of the Socioeconomic Development of the Country in 2022–2028, a draft Programme of the Socioeconomic Development of the Country and Investments in 2025 had been developed.","In an address to the assembly, the President of Turkmenistan noted that in order to successfully implement the President of Turkmenistan's Sustainable Development Goals for our country in 2022  2028 , the draft Sustainable Development Goals for our country in 2025 and May sheep were being prepared.","In an address to the assembly, the President of Turkmenistan noted that the President of Turkmenistan's Sustainable Development Goals for 2022  2028 were developed and prepared in 2025 with a view to successfully implementing the Sustainable Development Goals for 2025."
"Bu işler bilen bir hatarda, gowaçanyň we azyklyk ekinleriniň ýazky ekişine taýýarlyk görülýär.","Along with this, preparations are underway for the spring sowing of cotton and food crops.","In addition, they prepare for the spring planting of cattle and grain crops.","In addition, they are preparing for the springtime sowing of cattle and food crops."
"Şunuň bilen birlikde, döwletara dialogyň aýrylmaz bölegi hökmünde çykyş edýän parlamentara gatnaşyklar hem pugtalandyrylýar.","Interparliamentary contacts, which are an integral part of the interstate dialogue, are also strengthening.","In addition, parliamentary relations, which appear to be an integral part of the intergovernmental dialogue, are also undermined.","In addition, parliamentary relations, which are an integral part of the intergovernmental dialogue, are also undermined."
"Hormatly Prezidentimiz Serdar Berdimuhamedow hasabaty diňläp, Türkmenistanyň Birleşen Milletler Guramasy bilen yzygiderli we ýakyndan hyzmatdaşlyk edýändigini nygtady.","After hearing the report, President Serdar Berdimuhamedov stressed Turkmenistan consistently and closely cooperated with the United Nations.","Listening to the report, President Serdar Berdimuhamedov stressed that Turkmenistan regularly and closely cooperates with the United Nations.","During the hearing of the report, the Hon'ble President Serdar Berdimuhamedov stressed the regular and close cooperation of Turkmenistan with the United Nations."
"2025-nji ýylyň 1-nji ýanwary ýagdaýyna görä, Türkmenistanyň Prezidentiniň degişli Kararlaryna laýyklykda, Aşgabat we Arkadag şäherlerinde, welaýatlarda raýatlara gozgalmaýan emlägi satyn almak üçin berlen karzlaryň möçberi 16,2 göterim artdy.","As of January 1, 2025, the volume of mortgage loans issued in accordance with the Resolution of the President of Turkmenistan to citizens for the purchase of real estate in the cities of Ashgabat and Arkadag and in the velayats, increased by 16.2 per cent.","As of January 1, 2025, in accordance with the relevant Decrees of the President of Turkmenistan, the amount of loans granted to citizens for the purchase of non-refundable property in Ashgabat and Arkadag cities and provinces increased by 16.2 percent.","As of January 1, 2025, in accordance with the relevant Decrees of the President of Turkmenistan, in Ashgabat and Arkadag, the amount of loans granted to citizens for the purchase of non-refundable property increased by 16.2 percent."
