prediction,reference
Также были озвучены меры по широкому использованию цифровых технологий и повышению профессионального уровня сотрудников прокуратуры.,A report was also made on the practical steps taken to widely use the digital system and improve the professionalism of the employees of the prosecutors office.
"В рамках ГУТ ""Туркменхалли"" реализовано 102,3 процента плана по производству матовых изделий.",The plan for the production of carpet items by the Türkmenhaly State Association was fulfilled at the level of 102.3 per cent.
"Мы готовы сотрудничать с европейскими партнерами в области водородной энергетики, использования возобновляемых источников энергии.",We are also ready to work with European partners in the field of hydrogen energy and the use of renewable energy sources.
"Как известно, дипломатические отношения между двумя странами были установлены в 1992 году.","As is known, diplomatic relations between the two countries were established in 1992."
Я приведу еще один конкретный пример: в Туркменистане Галкиныш находится на первом месте в мире по объему газа.,I will give another specific example: the Galkynyş field ranks first in the world in terms of gas resources.
"Уважаемый Президент нашей страны обратился к присутствующим в Меджлисе и отметил, что в целях успешного внедрения Целей Президента Туркменистана по социальному развитию нашей страны в 2022  2028 годах  в 2025 году будет разработана и подготовлена Программа Целей социально-социального развития нашей страны и маякской овцы.","Addressing the participants of the sitting, the head of state said that in order to successfully implement the Programme of the President of Turkmenistan of the Socioeconomic Development of the Country in 20222028, a draft Programme of the Socioeconomic Development of the Country and Investments in 2025 had been developed."
Это также помогает приготовлять весенние посевы и зерновые культуры.,"Along with this, preparations are underway for the spring sowing of cotton and food crops."
"Кроме того, будут подвергнуты воздействию парламентские отношения, которые выступают в качестве неотъемлемой части межгосударственного диалога.","Interparliamentary contacts, which are an integral part of the interstate dialogue, are also strengthening."
"Выслушав доклад, Президент Туркменистана Серджан Бердымухамедов подчеркнул, что Туркменистан постоянно и тесно сотрудничает с Организацией Объединенных Наций.","After hearing the report, President Serdar Berdimuhamedov stressed Turkmenistan consistently and closely cooperated with the United Nations."
"По состоянию на 1 января 2025 года, в соответствии с соответствующими постановлениями Президента Туркменистана, в городах Ашхабад и Аркадаг, областях объем задолженности граждан по приобретению невозвратной собственности увеличился на 16,2 процента.","As of January 1, 2025, the volume of mortgage loans issued in accordance with the Resolution of the President of Turkmenistan to citizens for the purchase of real estate in the cities of Ashgabat and Arkadag and in the velayats, increased by 16.2 per cent."
